date,meantemp,humidity,wind_speed,meanpressure
2013-01-01,10.0,84,0,1015
2013-01-02,7.4,92,2.98,1017
2013-01-03,7.2,87,4.63,1018
2013-01-04,8.0,89,1.24,1017
2013-01-05,8.9,82,3.46,1016
2013-01-06,9.6,80,2.46,1016
2013-01-07,11.8,78,1.63,1015
2013-01-08,10.5,80,2.03,1016
2013-01-09,10.8,79,1.40,1016
2013-01-10,11.0,77,2.33,1015
2013-01-11,13.0,74,1.83,1014
2013-01-12,13.6,71,3.40,1013
2013-01-13,14.0,70,3.70,1012
2013-01-14,15.2,68,2.96,1011
2013-01-15,14.5,65,2.73,1011
2013-01-16,16.2,60,3.10,1010
2013-01-17,17.1,58,2.60,1009
2013-01-18,18.3,55,3.00,1008
2013-01-19,19.5,52,3.40,1007
2013-01-20,20.0,50,3.10,1006
